Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
01607,8167,39.2,39928,25319,1438,17.60744459
01608,4471,28.2,31384,17598,1909,42.69738314
01609,21628,33.2,45992,31337,3856,17.82874052
01610,22023,27.8,33695,18452,4912,22.30395496
01611,2277,44.1,98140,39661,119,5.226174791
01612,4900,37.5,120469,43878,130,2.653061224
01701,32590,45.8,111209,53783,1411,4.329548941
01702,39799,34.9,65154,33572,4419,11.10329405
01718,790,39.6,170789,50593,54,6.835443038
01719,5561,43.2,115395,59544,249,4.47761194
01720,22791,44.1,141265,64174,713,3.128427888
01721,17710,42,124130,55890,682,3.850931677
01730,14070,42.4,128354,63037,394,2.800284293
01731,2059,24.6,107778,30715,0,0
01740,5299,43,173024,62060,60,1.132289111
01741,5224,50.7,195889,91161,178,3.407350689
01742,19121,45.8,152240,72123,626,3.273887349
01745,595,35.2,127700,70555,0,0
01746,14724,42.2,135340,60245,301,2.044281445
01747,5947,45,108294,42950,238,4.002017824
01748,17598,40.6,157353,68734,637,3.619729515
01749,19887,44,91706,44037,945,4.751847941
01752,39736,39.8,80943,41467,2217,5.579323535
01754,10754,41.7,105254,50946,407,3.784638274
01756,6115,43.7,125945,51455,75,1.226492232
01757,28883,39.4,83243,38098,2896,10.02665928
01760,35761,41.1,115446,61216,1036,2.89701071
01770,4316,46.6,198681,79596,252,5.838739574
01772,9526,44.1,148409,69723,301,3.159773252
01773,4884,54.6,140125,92911,307,6.285831286
01775,7133,42,148235,60265,246,3.448759288
01776,19122,44.2,191310,79112,470,2.457901893
01778,14088,44,185906,82217,411,2.917376491
01801,40359,40,90969,43844,2511,6.221660596
01803,27650,41.1,118721,51248,1039,3.757685353
01810,35816,42.4,151334,68368,1398,3.903283449
01821,32797,41.1,106141,42310,1154,3.518614507
01824,25754,44.7,126081,54114,831,3.226683234
01826,31294,40,90000,38359,2018,6.448520483
01827,3366,45.2,135909,56854,99,2.941176471
01830,26305,37.3,65224,33652,3150,11.97490971
01832,23270,36.4,66961,32934,2759,11.85646755
01833,8695,43.4,128466,53243,273,3.13973548
01834,6780,45.8,103125,44709,189,2.787610619
01835,13958,36.5,76538,36057,1927,13.80570282
01840,5573,35.2,24045,19509,1790,32.11914588
01841,49367,31.4,43411,18428,10988,22.25778354
01843,25002,32.7,56680,25956,4041,16.16270698
01844,50282,40.7,77484,35387,4611,9.170279623
01845,30842,38.9,108070,54939,1670,5.414694248
01850,16151,31.2,52827,22842,3004,18.59946753
01851,30686,33.7,60596,26605,4668,15.21214886
01852,35532,37.1,59037,30734,6331,17.81774175
01854,28937,29.6,53322,24527,6165,21.30490376
01860,6890,47.7,84609,44616,231,3.352685051
01862,10623,43.5,96514,37638,384,3.61479808
01863,9372,43.9,100672,48358,440,4.694835681
01864,15581,43.8,128651,56981,468,3.003658302
01867,25077,43.3,132948,54409,700,2.79140248
01876,30878,44.6,102934,45272,1538,4.980892545
01879,12443,42.7,113489,48682,580,4.661255324
01880,26720,44,100693,52350,1060,3.967065868
01886,24342,43.2,144917,56057,500,2.054062936
01887,23377,42.1,125922,49605,665,2.844676391
01890,22738,42.8,169623,79752,516,2.269328877
01901,2135,36,24446,21429,605,28.33723653
01902,49641,33.2,46224,23809,9621,19.38115671
01904,17294,38,81788,35278,1270,7.343587371
01905,24580,34.4,62927,25370,4015,16.33441823
01906,28222,47.1,88630,39795,2748,9.737084544
01907,15278,45,112761,55965,462,3.023956015
01908,3502,52.3,97778,64235,82,2.341519132
01913,17434,43.9,82468,42607,1085,6.223471378
01915,41885,40.4,80586,45803,3598,8.590187418
01921,8282,46.6,184007,79705,18,0.217338807
01922,3910,45.9,128083,58138,416,10.63938619
01923,27406,44.6,89250,44221,1798,6.560607166
01929,3745,46.1,106283,48879,243,6.488651535
01930,30162,50.9,72574,43321,2991,9.916451164
01937,180,37.7,-666666666,11119,125,69.44444444
01938,13963,48.4,93212,52393,1054,7.548521091
01940,13474,43.2,119602,62808,311,2.308149028
01944,5383,48.9,148854,74989,175,3.250975293
01945,20500,47.9,123333,69148,905,4.414634146
01949,9872,42.9,125204,52896,249,2.522285251
01950,18077,48.9,109839,64018,1059,5.858272944
01951,3150,52.7,95345,57539,208,6.603174603
01952,9379,46.8,81626,43235,600,6.397270498
01960,52628,45.9,73290,40078,4515,8.579083378
01966,7231,56.1,85208,51122,483,6.679574056
01969,6372,45.8,115909,54885,274,4.300062775
01970,43033,37,68860,38441,6093,14.15890131
01982,8031,41.1,127813,49347,932,11.60503051
01983,6568,44.6,136863,53853,295,4.491473812
01984,5240,28.3,128056,53992,76,1.450381679
01985,4631,49.7,149167,62617,202,4.361908875
02019,17108,40.7,101477,45601,537,3.138882394
02021,23369,42.6,105919,53633,939,4.018143695
02025,8484,44,145679,82112,387,4.561527581
02026,25265,42.9,100680,52961,1084,4.290520483
02030,6044,45.2,250001,125777,53,0.876902713
02032,4194,42.7,155474,57449,189,4.506437768
02035,17727,42.4,96062,50396,1048,5.911885824
02038,33256,41.1,122607,53944,1294,3.891027183
02043,23652,45.6,142435,78301,741,3.132927448
02045,10455,53.5,88476,52621,498,4.763271162
02047,97,48.4,45655,43744,0,0
02048,23947,39.3,120613,53038,761,3.177851088
02050,26222,45.5,102249,48971,1712,6.528868889
02052,12841,41.8,160963,68444,404,3.146172416
02053,13325,41.6,132823,56393,629,4.720450281
02054,8233,45.4,106164,46641,127,1.542572574
02056,11309,41.8,151279,50416,109,0.963834114
02061,11054,42.2,157987,62400,327,2.958205175
02062,29306,40.8,90133,45102,2350,8.018835733
02066,18239,49.2,130893,66062,539,2.955205878
02067,18508,42.7,141596,67040,280,1.512859304
02071,1526,38.7,110809,17018,37,2.424639581
02072,28639,44.8,83519,38513,2072,7.234889486
02081,19904,40.8,117535,52629,731,3.672628617
02090,16154,44.6,160329,71536,371,2.296644794
02093,11823,43.4,126613,54617,436,3.687727311
02108,4454,36.1,146958,106869,384,8.621463853
02109,4190,33.4,163173,118372,455,10.85918854
02110,2314,55,142869,187336,217,9.377700951
02111,7926,32.9,53596,55899,1756,22.15493313
02113,6966,29.8,100483,77416,574,8.240022969
02114,13335,33.2,96563,82443,1338,10.03374578
02115,28652,21.9,43144,29189,5335,18.61999162
02116,23157,35.3,110280,108943,2348,10.13948266
02118,28262,34.5,67805,66254,6599,23.34937372
02119,27818,33.6,31900,23422,8221,29.55280753
02120,15188,24.3,38300,20472,5233,34.45483276
02121,30159,33,32500,21212,9668,32.05676581
02122,24485,34.8,60313,31621,4488,18.32958954
02124,56649,33.7,58105,29337,12044,21.260746
02125,34847,32.4,57649,33620,7613,21.84693087
02126,29620,36.4,55024,27451,6041,20.39500338
02127,37634,31.5,109149,63655,5356,14.23181166
02128,47263,33.5,60579,31473,7548,15.97020925
02129,19890,35.4,128403,75339,2859,14.37405732
02130,40749,34.9,94733,52636,5375,13.19050774
02131,34419,38.5,80578,38647,3678,10.68595834
02132,27801,45.3,103337,50767,1411,5.075357002
02134,19907,27.4,62614,38494,4946,24.84553172
02135,44951,30,78416,43482,7428,16.52466019
02136,35213,39.1,69262,31643,4984,14.15386363
02138,38504,29.4,105065,61017,2942,7.640764596
02139,38715,29.7,105061,54479,3816,9.856644711
02140,21490,33.5,103738,59659,3178,14.78827362
02141,14522,31.3,84142,53485,2512,17.29789285
02142,3676,30.9,121484,94000,358,9.738846572
02143,25327,31.5,98374,54136,2988,11.79768626
02144,24818,30.7,113958,59115,2770,11.16125393
02145,28402,33.4,83208,39935,3228,11.3653968
02148,60984,34.6,65975,33122,9400,15.41387905
02149,46118,35.9,65528,28417,5798,12.57209766
02150,39983,33.3,56737,25276,7162,17.91261286
02151,53701,39.2,62605,30593,6786,12.63663619
02152,18542,44.9,74069,44642,1622,8.747707906
02155,59735,34.1,96486,48412,4835,8.094082196
02163,2621,26.9,53214,31922,293,11.17893934
02169,56523,38.6,72537,40107,7016,12.41264618
02170,19848,41.2,83734,40483,1808,9.109230149
02171,17836,41,84034,49060,1678,9.407939
02176,28113,41.3,106955,55422,1134,4.033721054
02180,23223,43.8,101549,51116,1162,5.003660164
02184,37220,41.5,96522,44618,1693,4.548629769
02186,27572,39.5,133718,56473,1204,4.366748876
02188,15831,40.2,86285,42255,576,3.638430927
02189,15296,41.3,76157,39306,1233,8.060930962
02190,17247,43.3,95563,46314,933,5.409636459
02191,8360,48.6,78517,42797,621,7.428229665
02199,1157,40.6,83464,117111,226,19.53327571
02203,30,-666666666,-666666666,,0,0
02210,3715,37.2,170588,155789,59,1.588156124
02215,25770,21.8,45856,29238,4802,18.63407062
02301,63420,35.2,52373,25568,10593,16.70293283
02302,32174,37.3,70191,31128,3357,10.43389072
02322,4500,40,85200,33545,440,9.777777778
02324,27436,34.5,95675,34047,2129,7.759877533
02330,11720,45.2,70959,35367,727,6.203071672
02332,15812,46.5,128173,61791,664,4.199342272
02333,14466,37.8,90528,36346,909,6.28369971
02338,7842,41.7,92774,39556,388,4.947717419
02339,14459,41.9,127981,54290,437,3.022339028
02341,10777,44.8,96693,40159,355,3.294052148
02343,10423,44.6,75273,36453,631,6.053919217
02346,24802,44.8,83631,41517,1784,7.192968309
02347,11420,44.3,106633,45940,413,3.616462347
02351,16436,42.2,99381,42046,668,4.064249209
02356,13312,42.7,125205,54544,526,3.951322115
02357,1061,19.6,-666666666,7648,52,4.901036758
02359,18380,43.8,103905,44173,650,3.536452666
02360,59826,47.2,90279,46137,3770,6.301607997
02364,13566,44,96104,42418,883,6.508919357
02366,198,46.1,-666666666,2907,0,0
02367,2954,46,94167,41527,115,3.893026405
02368,34686,40.4,82902,34166,2882,8.308827769
02370,17953,40.1,78011,37876,1469,8.182476466
02375,10248,42.9,100136,47527,252,2.459016393
02379,7198,43.9,97404,39353,322,4.473464851
02382,15056,38,86570,37256,930,6.176939426
02420,14718,44.9,195494,82843,442,3.003125425
02421,18622,46.2,178358,82330,629,3.377725271
02445,21074,34.4,132688,76360,1694,8.038341084
02446,29862,32.8,98978,64967,4689,15.70223026
02451,18246,38,111587,53483,1124,6.160254302
02452,14909,32.3,90755,38725,1182,7.928097123
02453,29505,33.3,86787,43328,2870,9.727164887
02457,1752,20,-666666666,4176,0,0
02458,12778,40.8,117137,68465,404,3.161684145
02459,19012,44.1,195336,89495,706,3.713444141
02460,9773,39.7,126659,62141,518,5.3003172
02461,7084,45,164583,75783,234,3.303218521
02462,1389,47,115556,69528,41,2.951763859
02464,3326,38.4,122098,54121,96,2.88634997
02465,11814,42.4,157563,79618,300,2.539360081
02466,8929,36.4,121037,54857,658,7.369246276
02467,22269,25.7,132399,59346,1230,5.523373299
02468,5623,48,241190,106404,100,1.778410101
02472,35518,38.2,101397,56106,2691,7.576440115
02474,27878,39.3,112150,57412,1307,4.688284669
02476,17426,43.7,102214,61730,1058,6.071387582
02478,26099,41,129309,67624,1546,5.923598605
02481,16140,36.4,223917,93614,736,4.560099133
02482,10855,43.9,168361,87315,314,2.892676186
02492,20571,44.7,168542,82849,405,1.968791016
02493,12112,45.1,207702,95688,866,7.14993395
02494,10399,40,133375,71372,418,4.019617271
02532,13218,51.6,70068,41750,735,5.560599183
02534,887,46.7,92824,39743,152,17.13641488
